KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL JAKARTA 1;AREA BEKASI;CP KARAWANG;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL JAKARTA 1;AREA BEKASI;CP TAMBUN;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL MAKASAR;AREA PALOPO;CP RANTEPAO;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL MAKASAR;AREA PALOPO;CP MASAMBA;KONVEN;FRONTLINER;FRONTLINER;29,16666667
KANWIL MAKASAR;AREA PALOPO;CP MALILI;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL BANDUNG;AREA BANDUNG 2;CP PURWAKARTA;KONVEN;FRONTLINER;FRONTLINER;33,33333333
KANWIL MEDAN;AREA MEDAN 2;CP LUBUK PAKAM;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL MEDAN;AREA MEDAN 2;CP GUNUNG SITOLI;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA BOGOR;CP DEPOK;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CP RAWAMANGUN;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KAMPUNG AMBON;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KEBON NANAS;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CP JATINEGARA;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL MAKASAR;AREA PARE-PARE;CP WONOMULYO;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL MAKASAR;AREA AMBON;CP KAIRATU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL SEMARANG;AREA PURWOKERTO;CP BUMIAYU;KONVEN;FRONTLINER;FRONTLINER;29,16666667
KANWIL SEMARANG;AREA YOGYAKARTA;CP LEMPUYANGAN;KONVEN;FRONTLINER;FRONTLINER;87,5
